"","SAMPLE_dN15.14.comps"
"Wave_1806",3.88938752872068
"Wave_1807",2.58943450316508
"Wave_1808",0.870730775146938
"Wave_1809",-1.30034852961032
"Wave_1810",-1.61442636052726
"Wave_1811",-0.779882508734255
"Wave_1812",-0.684088998852346
"Wave_1813",-1.46584038192937
"Wave_1814",-1.50436431025044
"Wave_1815",-1.4856467016365
"Wave_1816",-1.84653239766221
"Wave_1817",-1.76774366964834
"Wave_1818",-0.363274894361045
"Wave_1819",-0.985621720724957
"Wave_1820",-2.52444436865521
"Wave_1821",-2.59137451384292
"Wave_1822",-2.52235715717913
"Wave_1823",-2.67637908488514
"Wave_1824",-2.28732792562876
"Wave_1825",-1.86250776608943
"Wave_1826",-2.2115136568375
"Wave_1827",-2.70585817718415
"Wave_1828",-2.48023801405553
"Wave_1829",-1.51490038835868
"Wave_1830",-0.909669330141094
"Wave_1831",-1.06633555155727
"Wave_1832",-0.995316916762264
"Wave_1833",-1.07993388514445
"Wave_1834",-0.98249405538642
"Wave_1835",-0.73800099563014
"Wave_1836",-0.916471865850702
"Wave_1837",-0.434174186575239
"Wave_1838",0.180557852546329
"Wave_1839",0.0621037186975459
"Wave_1840",0.206371472818925
"Wave_1841",0.304978258088953
"Wave_1842",-0.366812028884418
"Wave_1843",-0.38427869039062
"Wave_1844",-0.114829180048428
"Wave_1845",0.913331721660481
"Wave_1846",1.376746837809
"Wave_1847",1.27626683980256
"Wave_1848",0.885725508525195
"Wave_1849",-0.075991406110469
"Wave_1850",-0.612105885637193
"Wave_1851",-1.31264704025736
"Wave_1852",-0.900730464568597
"Wave_1853",0.835398517454657
"Wave_1854",0.761328989864211
"Wave_1855",0.673151594663032
"Wave_1856",-0.398339543711992
"Wave_1857",-2.14781573992876
"Wave_1858",-2.10052942160693
"Wave_1859",-1.06887646714613
"Wave_1860",-0.413198874424786
"Wave_1861",-0.170569992170926
"Wave_1862",-0.967682632007043
"Wave_1863",-0.964891858014696
"Wave_1864",-1.18239923474052
"Wave_1865",0.0376255079626706
"Wave_1866",0.298252664909371
"Wave_1867",0.803547619767269
"Wave_1868",1.78694362741409
"Wave_1869",1.20501699573655
"Wave_1870",1.0438000906623
"Wave_1871",0.937897848391915
"Wave_1872",1.06685166341164
"Wave_1873",1.1977719588919
"Wave_1874",1.00769088238584
"Wave_1875",0.81211677588231
"Wave_1876",1.12009888315502
"Wave_1877",0.222794516726344
"Wave_1878",-1.37341753903231
"Wave_1879",-1.58143237208008
"Wave_1880",-0.733801035645987
"Wave_1881",-1.00279421769941
"Wave_1882",-1.34775706675266
"Wave_1883",-1.33083511564114
"Wave_1884",-1.46562738014052
"Wave_1885",-1.98683609044462
"Wave_1886",-2.55313704627144
"Wave_1887",-2.68731875786736
"Wave_1888",-2.23210286190302
"Wave_1889",-3.20891935914132
"Wave_1890",-4.20129891277288
"Wave_1891",-4.89139597825314
"Wave_1892",-5.57402127214037
"Wave_1893",-7.59259005956586
"Wave_1894",-8.59118980171083
"Wave_1895",-7.94155923767232
"Wave_1896",-8.69386953648978
"Wave_1897",-10.6810036222944
"Wave_1898",-11.6346920876995
"Wave_1899",-12.2523284269153
"Wave_1900",-12.7087755759777
"Wave_1901",-13.9029229621853
"Wave_1902",-14.6145577208802
"Wave_1903",-15.6379285264871
"Wave_1904",-18.6693131508459
"Wave_1905",-19.6047555137553
"Wave_1906",-18.655343508692
"Wave_1907",-18.6359492537821
"Wave_1908",-18.7817327266819
"Wave_1909",-17.6751255150528
"Wave_1910",-17.4440841086126
"Wave_1911",-18.3701584423545
"Wave_1912",-17.4022354120242
"Wave_1913",-15.1535425234456
"Wave_1914",-14.0229548635514
"Wave_1915",-12.7786756208793
"Wave_1916",-10.9974249834374
"Wave_1917",-10.0339667940902
"Wave_1918",-8.20418735210416
"Wave_1919",-5.11077871709639
"Wave_1920",-1.29529128413688
"Wave_1921",0.654584667708689
"Wave_1922",1.69480782046842
"Wave_1923",3.12758149429942
"Wave_1924",3.57795910386183
"Wave_1925",4.61428782853164
"Wave_1926",5.84894340684538
"Wave_1927",7.43162764324287
"Wave_1928",9.7942477561402
"Wave_1929",11.1592335058753
"Wave_1930",12.0700262940354
"Wave_1931",13.5108672100444
"Wave_1932",14.3129048463765
"Wave_1933",14.3270448510646
"Wave_1934",14.3393030880982
"Wave_1935",14.4599678869331
"Wave_1936",14.2265610705509
"Wave_1937",13.1321151757034
"Wave_1938",12.5101249306485
"Wave_1939",11.9552001055937
"Wave_1940",11.5790753394376
"Wave_1941",11.7943737524456
"Wave_1942",11.5553059415294
"Wave_1943",10.4499310926126
"Wave_1944",8.66685427119385
"Wave_1945",7.63347694767278
"Wave_1946",5.76307204933979
"Wave_1947",4.8540219158631
"Wave_1948",5.39949969190532
"Wave_1949",4.89734113234548
"Wave_1950",3.55274532681056
"Wave_1951",3.04621837353073
"Wave_1952",2.93227046244574
"Wave_1953",2.5785657803328
"Wave_1954",2.31582157560653
"Wave_1955",2.39464097132052
"Wave_1956",2.42552970073815
"Wave_1957",2.63631210373879
"Wave_1958",2.11518520201938
